probe,N_materials,r_probe_bg,g_before,g_after,reduction_pct
baseline (fe only),5572,-0.4669004186313833,0.884309899911699,0.884309899911699,0.0
mbj_bandgap,187,0.9797965704865824,12.430548269070469,2.734571459811297,78.00119994211822
max_efg,109,0.06198817802037646,9.838652359812635,9.80115300893291,0.38114316380254765
mepsx,165,-0.4568152080740534,9.626777317677524,9.280864791670867,3.5932328607151067
