method,models,median_certifiable_fraction,mean_certifiable_fraction,median_ambiguous_fraction,median_fiber_size,median_tolerance
interval_mae,67,8.17238279441009e-05,8.315750722566824e-05,nan,196278.0,0.9068498045827454
interval_q80_abs_error,67,5.837416281721493e-05,6.001581545963891e-05,nan,217152.0,1.3438
knn_100,67,0.05180992128068768,0.060463945024957465,nan,100.0,nan
knn_25,67,0.13093917706715857,0.12684932423563633,nan,25.0,nan
knn_50,67,0.08584248849038173,0.08622211339036254,nan,50.0,nan
quantile_10,67,0.0,0.0,1.0,25695.5,nan
quantile_20,67,0.0,0.0007466665303634806,1.0,12848.0,nan
quantile_40,67,0.0,0.0007466665303634806,1.0,6424.0,nan
quantile_5,67,0.0,0.0,1.0,51391.0,nan
