model,n_splits,mean_clean_accuracy,mean_robust_suite_accuracy,mean_certifiable_fraction,mean_ambiguous_fraction,median_fiber_size
extra_trees,25,0.9820305980528512,0.3680667593880389,0.4095132127955494,0.5904867872044506,7.0
rbf_svm,25,0.9801390820584145,0.08383866481223923,0.9368011126564673,0.06319888734353268,6.5
mlp,25,0.9751321279554938,0.04689847009735744,0.8566898470097357,0.14331015299026426,6.0
random_forest,25,0.9739082058414464,0.3398609179415855,0.4678164116828929,0.5321835883171071,7.0
knn,25,0.9714603616133519,0.09324061196105703,0.49207232267037554,0.5079276773296244,10.0
logistic,25,0.9674547983310152,0.10141863699582754,0.7392489568845619,0.2607510431154381,6.0
linear_svm,25,0.9555493741307372,0.053796940194714885,0.8201947148817803,0.17980528511821978,6.0
gaussian_nb,25,0.8420027816411683,0.018414464534075102,0.8971905424200278,0.10280945757997217,5.0
